source,target,weight
begin to jump up,begin to run up,133
begin to run up,fall to the ground,109
begin to jump up,fall to the ground,124
put the melted soap block into the vessel,take out after freezing,54
place label,wipe screen,12
paste protector on the screen,place label,9
paste protector on the screen,remove the label,19
paste protector on the screen,wipe screen again,13
remove the label,wipe screen again,14
connect the water pipe,install the new faucet,25
connect the water pipe,open the sluice and test the new faucet,20
insert money into the vending machine,press the corresponding button,61
insert money into the vending machine,take out the goods,55
press the corresponding button,take out the goods,62
put the ingredients into the bowl,stir the ingredients,109
prepare and add the tea,prepare and boil water,19
heat the teapot and wash the cup,prepare and boil water,2
draw black patterns,ink the marked area,2
ink the marked area,scrape tarpaulin without ink,30
scrape tarpaulin without ink,transfer print,20
ink the marked area,transfer print,100
transfer print,transfer print,20
pack the sleeping bag,tie the bag tightly,39
fold or fire the blank paper,show the blank paper,42
fold or fire the blank paper,show the money to the audience,38
circle the rope under the bolt,cross the rope to wrap the bolt,56
cross the rope to wrap the bolt,cross the rope to wrap the bolt,14
remove the head,remove the vein,9
lighten the lighter to check,pump up the fuel,22
replace the old shower head,wrap the pipe band,25
install the new shower head,wrap the pipe band,51
add seasoning to the boiling water,add seasoning to the boiling water,6
pour the cooked noodles,pour the noodles into the water and stir,43
add seasoning on the salmon,fry salmon,34
fry salmon,fry salmon,8
pump up to the tire,remove the air nozzle,37
take out the filter,take out the shell,65
clean up the filter,take out the shell,3
clean up the filter,take out the filter,4
clean up the filter,fit on the filter,3
clean up the filter,fit on the shell,3
fit on the filter,fit on the shell,64
transfer and dissolve the solute,weigh up the solute,34
transfer and dissolve the solute,transfer and dissolve the solute,13
put the washed rice into the rice cooker,soak and wash the rice,31
cook the rice by rice cooker,put the washed rice into the rice cooker,68
cook the rice by rice cooker,cook the rice by rice cooker,9
install the new wax ring,remove the old wax ring and clean,15
pour the noodles into the water and stir,take a little bit noodles and taste it,8
pour the cooked noodles,take a little bit noodles and taste it,8
add raw materials,mix raw materials,209
mix raw materials,mix raw materials,69
mix raw materials,pour bean paste into plate,24
assemble the cushion and the backrest,install the wheels for the base,45
assemble the cushion and the backrest,connect the chair and the base,90
clean toys and hamster cages,remove the toy and paper bed from the hamster cage,46
clean toys and hamster cages,clean toys and hamster cages,10
add raw materials,add raw materials,30
add raw materials,pour bean paste into plate,13
invert seasoning,mix raw materials,14
invert seasoning,pour bean paste into plate,15
pour the soup in,put the ingredients into the can,46
close cans,pour the soup in,40
lift the barbell directly over the head,stand up with straight legs,65
lift the barbell directly over the head,pull the barbell to the chin,20
pull the barbell to the chin,stand up with straight legs,55
lift the barbell from the chin over the head,stand up with straight legs,59
lift the barbell from the chin over the head,pull the barbell to the chin,63
press the sticker,tear off the front of the sticker,64
press the sticker,press the sticker,7
press the sticker,tear off the other side of the sticker,62
install the new bulb,take out the old bulb,67
remove the old memory chip,take out the shell,62
install the new memory chip,remove the old memory chip,62
fit on the shell,install the new memory chip,60
adjust the tightness of the new string,cut off and remove the old string,2
fix the new string on the head of the guitar,fix the new string on the lower part of the guitar,95
adjust the tightness of the new string,fix the new string on the head of the guitar,54
fix the new string on the head of the guitar,fix the new string on the head of the guitar,20
install the new filter,take out the old filter,44
prepare the filler,put the filler on the bread slice,38
remove the hamster from the hamster cage,remove the toy and paper bed from the hamster cage,24
clean toys and hamster cages,move the toy and paper bed into the hamster cage,50
move the toy and paper bed into the hamster cage,put the hamster back into the hamster cage,17
open cover,remove battery,18
close cover,put battery in,22
press the SIM card slot back,put the SIM card into the SIM card slot,54
check the type of the back cover,open the back cover,26
install the back cover and waterproof ring,replace the battery,54
install the new bolt,install the new pin board,29
install the new bolt,install the new door knob,47
begin to practise karate,march into the area and salute,64
begin to practise karate,exit from the area and salute,79
cover with some soil,sow on the soil,95
pull out the screen connector and remove the screen,unscrew the screws used to fix the screen,67
install the new screen,reset and screw on the screws,46
package and freeze,pour the ingredients into the bowl,20
install the new graphics card,take out the shell,2
plunge into thigh,unplug protection head,21
plunge into thigh,pull out after a period of time,37
glue on the back of the rubber,glue on the paddle,27
cut the rubber,put rubber on paddle,22
load the inner tube,pump up the tire,5
show the blank paper,show the money to the audience,28
