source,target,weight
add carrot,add to cooker,2
add to cooker,put orange peel,2
add carrot,stick with brightening,2
add carrot,put orange peel,2
add carrot,add cup of coleslaw mix,2
add vegetable,cut in half,3
cut in half,rinse lentil,2
add eighth of teaspoon,rinse lentil,2
add vegetable,rinse lentil,2
add to cooker,rinse lentil,3
rinse lentil,use ingredient,2
hold for second,rinse lentil,2
add sausage,rinse lentil,2
add to cooker,use ingredient,2
add to cooker,hold for second,2
add sausage,add to cooker,3
add to cooker,cook in pan,2
add sausage,hold for second,2
add sausage,cook in pan,2
add sausage,use bacon,2
add on top,add sausage,2
add garlic,add sausage,3
add to cooker,massage kale,3
add sugar,put sugar,6
add water,clean floor,3
clean floor,use cleaner,2
clean vacuum,use cleaner,2
clean floor,clean kitchen,2
clean floor,use laundry basket,4
clean vacuum,use laundry basket,2
clean floor,clean vacuum,2
add leave to meal,read review,2
hold over year,work way,2
eat in day,use in pantry,2
eat in day,use leftover,2
eat in day,work from home,2
eat in day,put food,2
add lemon juice,add teaspoon of dill,2
add lemon juice,add olive oil,2
plant seed,put in microwave,2
cut to inch,put in microwave,2
add oil of salt,put in microwave,2
add oil of salt,plant seed,2
add olive oil,add salt,14
add salt,massage kale,4
add cinnamon,chop veggie,2
eat diet,use avocado,3
add shell,use avocado,2
drizzle tablespoon of miso sesame dressing,use avocado,3
add to bowl,use avocado,7
put nut,use avocado,3
use avocado,use butter,3
add lemon juice,use avocado,2
add veggie,use avocado oil,2
add veggie,chop veggie,4
add to cooker,use oregano,3
use for pizza,use oregano,4
add turmeric,use oregano,3
add pepper,add turmeric,4
cook pasta,use bacon,2
add oil,use bacon,5
add oil,cook pasta,2
add cup of pea,cook pasta,2
add cup of pea,add yeast,2
add yeast,stick to noodle,2
add arugula,stick to noodle,2
add green,stick to noodle,2
add lemon olive oil,stick to noodle,2
add arugula,add cheese,2
add cheese,add green,2
add cheese,add lemon olive oil,2
add cheese,use bacon,2
add cheese,cook pasta,3
add arugula,add green,5
add arugula,add lemon olive oil,4
add arugula,use bacon,2
add arugula,cook pasta,2
add green,add lemon olive oil,4
add green,use bacon,2
add green,cook pasta,2
add lemon olive oil,use bacon,2
add lemon olive oil,cook pasta,2
add water,stir saucepan,4
add sweetener,add water,2
add sweetener,add teaspoon of maple syrup,23
chop onion,put in freezer,3
chop onion,put parchment paper over top,2
add to pan,chop onion,6
add to pan,stack pan,4
add to pan,add vegetable,2
add to pan,use avocado oil,2
stack pan,use avocado oil,2
add veggie,stack pan,3
add vegetable,use avocado oil,3
add vegetable,add veggie,2
add garlic,add veggie,2
add garlic,put cauliflower,5
add garlic,stir for minute,2
add sauce,add teriyaki sauce,3
add teriyaki sauce,set timer for minute,2
add of tamari,add teriyaki sauce,2
add egg,add teriyaki sauce,2
add egg,set timer for minute,3
cook rice,set timer for minute,2
add oil,put on top,3
put in oven,put on top,5
add oil,put in oven,5
add barbecue,use in kitchen,2
add barbecue,add chicken,3
add broccoli,add vegetable,2
add broccoli,use mushroom,2
add vegetable,use mushroom,3
add flavor,use mushroom,7
cook vegetable,use mushroom,4
add flavor,cook vegetable,3
add broccoli,add oil,6
add oil,use recipe,2
cook egg,use teaspoon,2
add pepper,cook egg,4
add pepper,use teaspoon,2
add egg,add third of cup,2
add cheese,add garlic,3
add garlic,add quarter cup of water,3
add quarter cup of water,add third of cup,2
add salt,use herb,6
add salt,use produce,2
add salt,use mushroom,6
cook on side,use mushroom,2
put in skillet,use mushroom,3
add salt,cook on side,4
add salt,use for while,2
add salt,put in skillet,3
add green,add salt,2
cook on side,use for while,2
cook on side,put in skillet,2
add green,cook on side,3
add green,put in skillet,2
add green,add handful of baby spinach,3
add green,stick to bottom,2
add fat,add green,2
add egg,add green,3
put at bottom,stick to bottom,2
add egg,stick to bottom,2
add egg,add fat,2
add egg,use avocado oil,3
put in oven,use avocado oil,3
put in skillet,use oil,2
pull lid,use oil,3
boil water,use oil,2
boil water,cook egg,5
add ice cube,pull lid,2
add ice cube,boil water,2
boil water,pour water,2
pour water,use oil,4
put bit,use oil,2
stick to bottom,use oil,2
use oil,use soap,2
pour water,put bit,2
pour water,use soap,6
add egg,pour water,2
add egg,use oil,4
chop potato,cook egg,3
add potato,cook egg,6
add egg,cook egg,10
add potato,chop potato,7
add potato,use ton,2
add potato,use teaspoon,5
add egg,add potato,5
add potato,use butter,3
add egg,use butter,8
cook on side,use butter,2
add egg,boil egg,5
add dressing,use bottle,2
add onto baking dish,use bottle,2
put at bottom,use bottle,3
add chicken,add dressing,4
add chicken,eat salad,2
add chicken,cook chicken,12
add chicken,add to salad,3
add to salad,cook chicken,3
add honey,cut in half,2
add onto baking dish,put in oven,8
put in oven,put salmon on top,5
cook pasta,use teaspoon,2
add pasta into boiling water,cook pasta,8
add olive oil,cook pasta,2
add olive oil,roast asparagus,2
add olive oil,add pasta into boiling water,3
add pasta into boiling water,stick to noodle,2
add of cup,add pasta into boiling water,2
add of cup,add olive oil,2
add cilantro,chop rotisserie chicken,3
add cilantro,stir side for zing,2
use mesh strainer,use yogurt,3
add to bowl,use yogurt,5
use nut milk bag,use yogurt,2
add to bowl,use mesh strainer,2
use mesh strainer,use nut milk bag,2
add to bowl,use nut milk bag,2
add salt,use teaspoon,5
use herb,use teaspoon,3
eat salad,put on side,2
add to salad,eat salad,13
eat salad,use for starter,2
add agentic,eat salad,2
mix shallot,roast asparagus,2
roast asparagus,use parsley,2
eat fish,mix shallot,2
mix shallot,use parsley,2
add lemon juice,mix shallot,2
add lemon juice,use parsley,2
add lemon juice,roast asparagus,2
roll dough,use bread,2
bake in kitchen,use bread,2
freeze dough,roll dough,3
bake in kitchen,roll dough,2
bake in kitchen,mix with cookie dough,3
bake in kitchen,put in freezer bag,2
bake in kitchen,freeze dough,2
use in morning,work from home,3
add protein,use vanilla protein powder from company,2
add sprinkle of hemp seed,use vanilla protein powder from company,2
add tablespoon of tahini,use vanilla protein powder from company,2
use acid,use eye cream,3
use acid,use vitamin,2
use acid,wear sunscreen,2
use mineral,wear sunscreen,2
use couple of eye pin,use mineral,2
use eyeshadow brush,use mascara,2
put on eyelid,use mascara,12
put on eyelid,wash hair,2
put on eyelid,use shampoo,2
use shampoo,wash hair,26
add tomato,dice stalk of celery,2
add tomato,add veggie,4
use avocado,use bread,9
add potato,use avocado,6
chop potato,use avocado,2
add salt,use avocado,7
add oil,use avocado,2
put in toaster,use avocado,3
add potato,add salt,7
add potato,put in toaster,2
add oil,add salt,7
add salt,cook egg,3
add oil,cook egg,2
cook egg,put in toaster,2
boil egg,cook egg,4
boil egg,boil water,2
add potato,boil water,2
add potato,add to salad,3
add potato,add veggie,2
add to salad,add veggie,2
add pesto on top,add veggie,4
add dressing,add tomato,2
add dressing,add olive oil,4
add to pan,use bread,2
add on top,use bread,3
add broccoli,use avocado oil,6
add broccoli,add cheese,2
add cheese,eat dairy,5
add potato,put lid,3
use butter,use teaspoon,3
add broccoli,add salt,2
add cheese,add salt,4
add beef,put on top,2
add tempeh,add veggie,3
add coconut amino,add veggie,2
add of tamari,use tablespoon,2
use tablespoon,use teaspoon,9
use heat,use tablespoon,2
add to pan,add to plate,3
add onion,roast squash,2
add onion,use can,2
add onion,use avocado oil,3
add salt,cook onion in pepper,3
add ingredient,add salt,2
add salt,add tomato,8
add ingredient,add tomato,6
add ingredient,add liquid,3
add spice,add tomato,3
add chili powder,add tomato,4
add tomato,toast slice,3
add chili powder,add spice,2
cook for minute,rinse lentil,2
add broth,rinse lentil,4
add broth,cook for minute,2
add of cup,drink water,2
eat food,put nut,2
add of cup,eat food,2
add oil,use avocado oil,7
add egg,use egg white,6
add salt,use blender,4
add salt,set timer for minute,3
add of cup,use almond butter,5
add of cup,use blender,2
set timer for minute,use blender,2
use blender,use nut milk bag,2
put over strainer,use blender,2
set timer for minute,use nut milk bag,2
put over strainer,use nut milk bag,3
use almond milk,use nut milk bag,4
use nut milk bag,use vanilla extract,3
add date,use nut milk bag,3
add teaspoon of maple syrup,use nut milk bag,2
use almond milk,use vanilla extract,7
add date,use almond milk,5
add teaspoon of maple syrup,use almond milk,14
use almond milk,use bottle,3
use almond milk,use glass,3
add date,use vanilla extract,2
add teaspoon of maple syrup,use vanilla extract,4
add teaspoon of maple syrup,use glass,2
work from home,work way,3
set for hour,work from home,2
add of cup,paint pumpkin,2
add of cup,add tablespoon of apple cider vinegar,2
add of cup,use milk,4
add of cup,use water,3
add of cup,use coconut oil,2
use milk,use water,4
use coconut oil,use milk,3
use coconut oil,use cooking oil,2
add teaspoon of maple syrup,eat on go,2
add protein,add teaspoon of maple syrup,2
add coconut amino,use soy sauce,5
add coconut amino,add liquid,2
add liquid,use soy sauce,3
add bay leave,add liquid,2
add liquid,use cup,2
add cup of quinoa,add protein,2
add olive oil,add tomato,3
add cup of pea,add tomato,2
add cup of pea,add olive oil,2
rinse lentil,use mushroom,10
add oil,use mushroom,3
use avocado oil,use mushroom,2
add salt,add sauce,7
add bean,rinse lentil,2
add coconut amino,rinse lentil,2
add bean,add coconut amino,4
add bean,use soy sauce,4
add sauce,bake with lasagna,2
use blender,use food processor,5
add garlic,add to meal,2
add lemon juice,add to meal,2
add garlic,add lemon juice,3
add garlic,use acid,2
add water,use lemon,2
add olive oil,use lemon,2
add of cup,add water,2
add olive oil,add water,2
add handful of baby spinach,add sauce,2
add handful of baby spinach,add tumeric,3
add handful of baby spinach,add olive oil,3
put granola,use raspberry,2
use berry,use yogurt,4
eat dinner,eat in morning,2
burn calorie,wash knob in water,2
burn calorie,clean space,2
clean space,wash knob in water,2
add carrot,cook vegetable,3
add potato,eat dinner,2
chop onion,eat dinner,3
add potato,chop into chunk,2
add potato,use green chard,2
add potato,chop onion,5
add garlic,add yeast,3
add cheese,add yeast,7
